BIN,Accident Report ID,Incident Date,Record Type Description,Check2 Description,Fatality,Injury,House Number,Street Name,Borough,Block,Lot,Postcode,Latitude,Longitude,Community Board,Council District,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
1034211,43977,11/19/2024,Incident,Other Construction Related,0,0,520,5 AVENUE,Manhattan,1259,35,10036,40.754421,-73.980213,105,4,1012590035,96,MN0502
1060875,43984,11/21/2024,Incident,Other Construction Related,0,0,2855,FREDERICK DOUGLAS BOULEVARD,Manhattan,2046,63,10039,40.82741,-73.938587,110,9,1020460063,23502,MN1002
2084003,44738,6/25/2025,Incident,Mechanical Construction Equipment,0,0,171,west 239 street,Bronx,5773,322,10463,40.885358,-73.898409,208,11,2032710150,283,BX0802
2130685,43974,11/14/2024,Accident,Other Construction Related,0,1,221 D,MANIDA STREET,Bronx,2777,100,10474,40.805223,-73.885975,202,17,2027770100,9302,BX0201
3429247,43925,11/5/2024,Accident,Worker Fell,0,1,487,4 AVENUE,Brooklyn,1028,7,11215,40.668453,-73.990289,306,38,3010280007,139,BK0602
3322172,44735,6/24/2025,Accident,Worker Fell,0,1,2292,WEST 8 STREET,Brooklyn,7140,16,11223,40.592232,-73.978515,313,47,3071400016,382,BK1301
3428561,43920,11/4/2024,Accident,Other Construction Related,0,1,1215,FULTON STREET,Brooklyn,1842,15,11216,40.680609,-73.952845,303,36,3018420015,245,BK0301
1072007,43931,11/7/2024,Accident,Worker Fell,0,1,667,MADISON AVENUE,Manhattan,1375,49,10065,40.764613,-73.97024,108,4,1013750049,11401,MN0802
3429452,43954,11/15/2024,Accident,Mechanical Construction Equipment,0,1,564,UTICA AVENUE,Brooklyn,4603,1,11203,40.659655,-73.931238,309,41,,878,BK1703
1033105,43967,11/18/2024,Accident,Material Failure (Fell),0,1,215,WEST 84 STREET,Manhattan,1232,14,10024,40.786643,-73.976607,107,6,1012320014,171,MN0702
1080352,43945,11/11/2024,Accident,Worker Fell,0,1,450,11 AVENUE,Manhattan,708,65,10018,40.757406,-74.000787,104,3,1007080065,9903,MN0401
