,TotalIncidents,Fatality,Injury,AvgTemp,AvgPrecip,HVI_w,Borough_Brooklyn,Borough_Manhattan,Borough_Queens,Borough_Staten Island
TotalIncidents,1.0,0.12,0.958,0.025,0.023,-0.573,0.485,0.513,-0.305,-0.387
Fatality,0.12,1.0,0.075,-0.007,-0.153,-0.093,0.045,0.161,-0.071,-0.099
Injury,0.958,0.075,1.0,-0.009,0.019,-0.596,0.347,0.606,-0.287,-0.417
AvgTemp,0.025,-0.007,-0.009,1.0,0.707,-0.0,-0.011,-0.011,-0.011,0.067
AvgPrecip,0.023,-0.153,0.019,0.707,1.0,0.005,-0.012,-0.012,-0.012,0.074
HVI_w,-0.573,-0.093,-0.596,-0.0,0.005,1.0,-0.047,-0.759,0.201,-0.205
Borough_Brooklyn,0.485,0.045,0.347,-0.011,-0.012,-0.047,1.0,-0.3,-0.3,-0.158
Borough_Manhattan,0.513,0.161,0.606,-0.011,-0.012,-0.759,-0.3,1.0,-0.3,-0.158
Borough_Queens,-0.305,-0.071,-0.287,-0.011,-0.012,0.201,-0.3,-0.3,1.0,-0.158
Borough_Staten Island,-0.387,-0.099,-0.417,0.067,0.074,-0.205,-0.158,-0.158,-0.158,1.0
