Borough,Postcode,YearMonth,IncidentCount,Fatality,Injury
Bronx,10451,2024-02,1,0,1
Bronx,10451,2024-03,1,0,1
Bronx,10451,2024-04,1,0,1
Bronx,10451,2024-06,3,1,2
Bronx,10451,2024-07,1,0,2
Bronx,10451,2024-08,1,0,1
Bronx,10451,2024-12,1,0,1
Bronx,10451,2025-01,1,0,1
Bronx,10451,2025-02,2,1,0
Bronx,10451,2025-06,1,0,1
Bronx,10451,2025-08,1,0,1
Bronx,10452,2024-04,2,0,2
Bronx,10452,2024-05,3,0,3
Bronx,10452,2024-06,2,0,2
Bronx,10452,2024-07,2,0,1
Bronx,10452,2024-10,1,0,1
Bronx,10452,2025-01,1,0,1
Bronx,10452,2025-03,2,0,2
Bronx,10452,2025-05,1,0,1
Bronx,10452,2025-07,1,0,1
Bronx,10452,2025-08,1,0,1
Bronx,10453,2024-03,1,0,1
Bronx,10453,2024-08,1,0,0
Bronx,10453,2024-10,2,0,2
Bronx,10453,2024-12,1,0,0
Bronx,10453,2025-03,1,0,1
Bronx,10454,2024-01,1,0,1
Bronx,10454,2024-03,1,0,2
Bronx,10454,2024-04,1,0,0
Bronx,10454,2024-09,2,0,2
Bronx,10455,2025-01,1,0,1
Bronx,10455,2025-02,1,0,1
Bronx,10455,2025-05,1,0,1
Bronx,10455,2025-07,1,0,1
Bronx,10456,2024-04,1,0,1
Bronx,10456,2024-06,2,0,2
Bronx,10456,2025-03,1,0,1
Bronx,10456,2025-04,1,0,1
Bronx,10457,2024-01,1,0,1
Bronx,10457,2024-06,1,0,1
Bronx,10457,2024-08,1,0,1
Bronx,10457,2024-12,1,0,1
Bronx,10457,2025-01,1,0,0
Bronx,10457,2025-03,1,0,1
Bronx,10457,2025-04,1,0,1
Bronx,10457,2025-05,1,0,1
Bronx,10457,2025-07,1,0,1
Bronx,10457,2025-08,1,0,1
Bronx,10458,2024-02,1,0,0
Bronx,10458,2024-03,1,0,1
Bronx,10458,2024-04,1,0,1
Bronx,10458,2025-01,1,0,0
Bronx,10458,2025-05,1,0,1
Bronx,10458,2025-08,1,0,1
Bronx,10458,2025-09,1,0,1
Bronx,10459,2024-05,1,0,1
Bronx,10459,2024-06,2,0,2
Bronx,10460,2024-01,1,0,1
Bronx,10460,2025-01,1,0,1
Bronx,10460,2025-08,1,0,1
Bronx,10461,2024-05,1,0,1
Bronx,10461,2024-09,2,0,2
Bronx,10463,2024-05,1,0,0
Bronx,10463,2025-06,1,0,0
Bronx,10464,2024-08,1,0,1
Bronx,10464,2025-03,1,0,1
Bronx,10466,2025-09,1,0,0
Bronx,10467,2024-02,1,0,1
Bronx,10467,2024-05,1,0,1
Bronx,10467,2024-08,2,0,1
Bronx,10467,2024-10,1,0,1
Bronx,10467,2025-04,1,0,0
Bronx,10468,2024-08,1,0,1
Bronx,10468,2024-09,1,0,0
Bronx,10468,2024-11,1,0,1
Bronx,10468,2025-03,1,0,1
Bronx,10468,2025-04,1,0,1
Bronx,10468,2025-08,1,0,1
Bronx,10469,2024-07,1,0,0
Bronx,10471,2024-04,1,0,1
Bronx,10472,2024-01,1,0,1
Bronx,10472,2025-04,1,0,1
Bronx,10473,2024-03,2,0,1
Bronx,10473,2024-12,1,0,0
Bronx,10473,2025-05,1,0,1
Bronx,10473,2025-09,1,0,1
Bronx,10474,2024-05,1,0,1
Bronx,10474,2024-08,2,0,2
Bronx,10474,2024-11,2,0,2
Bronx,10475,2024-07,1,0,0
Bronx,10475,2025-04,1,0,1
Brooklyn,11201,2024-01,3,0,2
Brooklyn,11201,2024-02,3,0,3
Brooklyn,11201,2024-03,3,0,2
Brooklyn,11201,2024-05,2,0,2
Brooklyn,11201,2024-06,8,0,7
Brooklyn,11201,2024-07,2,0,2
Brooklyn,11201,2024-08,1,0,1
Brooklyn,11201,2024-09,2,0,2
Brooklyn,11201,2024-10,1,0,1
Brooklyn,11201,2024-11,2,0,1
Brooklyn,11201,2024-12,1,0,1
Brooklyn,11201,2025-01,3,0,3
Brooklyn,11201,2025-04,3,0,3
Brooklyn,11201,2025-05,2,0,2
Brooklyn,11201,2025-06,1,0,1
Brooklyn,11201,2025-09,1,0,1
Brooklyn,11203,2024-03,2,0,3
Brooklyn,11203,2024-06,2,0,1
Brooklyn,11203,2024-08,1,0,0
Brooklyn,11203,2024-10,1,0,1
Brooklyn,11203,2024-11,1,0,1
Brooklyn,11203,2025-02,1,0,0
Brooklyn,11203,2025-04,1,0,0
Brooklyn,11204,2024-02,1,0,0
Brooklyn,11204,2024-05,1,0,0
Brooklyn,11204,2024-08,1,0,1
Brooklyn,11204,2025-04,2,0,0
Brooklyn,11205,2024-01,1,0,1
Brooklyn,11205,2024-03,1,0,0
Brooklyn,11205,2024-05,1,0,0
Brooklyn,11205,2024-09,1,0,1
Brooklyn,11205,2025-01,1,0,2
Brooklyn,11205,2025-02,1,0,1
Brooklyn,11205,2025-03,1,0,0
Brooklyn,11205,2025-05,1,0,0
Brooklyn,11205,2025-07,1,0,0
Brooklyn,11206,2024-02,2,0,2
Brooklyn,11206,2024-03,1,0,0
Brooklyn,11206,2024-04,1,0,1
Brooklyn,11206,2024-05,1,0,1
Brooklyn,11206,2024-06,1,0,1
Brooklyn,11206,2024-07,1,0,0
Brooklyn,11206,2024-09,2,0,1
Brooklyn,11206,2024-10,1,0,0
Brooklyn,11206,2024-11,1,0,0
Brooklyn,11206,2025-07,1,0,1
Brooklyn,11207,2024-01,1,0,1
Brooklyn,11207,2024-04,1,0,1
Brooklyn,11207,2024-06,1,0,1
Brooklyn,11207,2024-07,1,0,0
Brooklyn,11207,2024-09,1,0,0
Brooklyn,11207,2025-03,1,0,0
Brooklyn,11207,2025-07,1,0,0
Brooklyn,11207,2025-08,1,0,1
Brooklyn,11207,2025-09,1,1,0
Brooklyn,11208,2024-01,1,0,0
Brooklyn,11208,2024-07,1,0,1
Brooklyn,11208,2024-12,1,0,1
Brooklyn,11209,2024-04,1,0,1
Brooklyn,11209,2024-09,1,0,1
Brooklyn,11210,2024-12,1,0,1
Brooklyn,11210,2025-02,1,0,2
Brooklyn,11211,2024-01,1,0,1
Brooklyn,11211,2024-05,1,0,0
Brooklyn,11211,2024-09,1,0,1
Brooklyn,11211,2024-11,2,0,2
Brooklyn,11211,2025-01,1,0,0
Brooklyn,11211,2025-04,1,0,0
Brooklyn,11211,2025-05,1,0,0
Brooklyn,11211,2025-07,1,0,1
